title,url_gs,year_gs,venue_gs,author_gs,source
Debunk Lists as External Knowledge Structures for Health Misinformation Detection with Generative AI,https://www.mdpi.com/2079-8954/13/10/882,2025.0,Systems,"['M Rostami', 'S Hawamdeh']",google_scholar
A Step Towards Modern Disinformation Detection: Novel Methods for Detecting LLM-Generated Text,https://ieeexplore.ieee.org/abstract/document/10773838/,2024.0,MILCOM 2024-2024 …,"['S Nathanson', 'Y Yoo', 'D Na', 'Y Cao']",google_scholar
The generative illusion: how ChatGPT-like AI tools could reinforce misinformation and mistrust in public health communication,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2025.1683498/abstract,2025.0,Frontiers in Public Health,"['J Joseph', 'B Jose', 'J Jose']",google_scholar
Personalizing LLM Responses to Combat Political Misinformation,https://dl.acm.org/doi/abs/10.1145/3699682.3728349,2025.0,Proceedings of the 33rd …,"['A Proma', 'N Pate', 'J Druckman', 'G Ghoshal']",google_scholar
Large language model (LLM)-powered chatbots fail to generate guideline-consistent content on resuscitation and may provide potentially harmful advice,https://www.cambridge.org/core/journals/prehospital-and-disaster-medicine/article/large-language-model-llmpowered-chatbots-fail-to-generate-guidelineconsistent-content-on-resuscitation-and-may-provide-potentially-harmful-advice/A5C656E31E741D5AB9881B1EA17F4309,2023.0,Prehospital and Disaster Medicine,"['AA Birkun', 'A Gautam']",google_scholar
Generative AI and Disinformation|(Generative) AI and Disinformation—Introduction,https://ijoc.org/index.php/ijoc/article/view/26088,2025.0,International Journal of Communication,"['A Farooq', 'C de Vreese']",google_scholar
Navigating the web of disinformation and misinformation: Large language models as double-edged swords,https://ieeexplore.ieee.org/abstract/document/10540581/,2024.0,IEEE …,"['SB Shah', 'S Thapa', 'A Acharya', 'K Rauniyar']",google_scholar
An Audit and Analysis of LLM-Assisted Health Misinformation Jailbreaks Against LLMs,https://ojs.aaai.org/index.php/AIES/article/view/36630,2025.0,… of the AAAI/ACM Conference on AI …,"['A Hussain', 'P Zhao', 'N Vincent']",google_scholar
Generative AI and Disinformation| Defining the Role (s) of AI in Disinformation Research—A Systematic Review,https://ijoc.org/index.php/ijoc/article/view/24780,2025.0,International Journal of Communication,"['MF Grub', 'E Humprecht']",google_scholar
Improving LLM-based opinion expression identification with dependency syntax,https://www.sciencedirect.com/science/article/pii/S0167865525002648,2025.0,Pattern Recognition Letters,"['Q Xu', 'P Guo', 'F Li', 'M Zhang', 'D Ji']",google_scholar
Silver lining in the fake news cloud: Can large language models help detect misinformation?,https://ieeexplore.ieee.org/abstract/document/10631663/,2024.0,IEEE Transactions on …,"['R Kumar', 'B Goddu', 'S Saha']",google_scholar
Generative AI and Disinformation| Unveiling Disinformation Narratives With AI: Collaborative Insights from Fact-Checkers and Computer Scientists' Work in Analyzing …,https://ijoc.org/index.php/ijoc/article/view/24778,2025.0,International Journal of …,"['I Larraz', 'R Salaverría', 'J Serrano-Puche']",google_scholar
Large-language-model-powered agent-based framework for misinformation and disinformation research: opportunities and open challenges,https://ieeexplore.ieee.org/abstract/document/10492674/,2024.0,IEEE Security & …,"['J Pastor-Galindo', 'P Nespoli']",google_scholar
"Automating untruths: ChatGPT, self-managed medication abortion, and the threat of misinformation in a post-Roe world",https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2024.1287186/full,2024.0,Frontiers in Digital Health,"['HV McMahon', 'BD McMahon']",google_scholar
"Tripartite Intelligence: Synergizing Deep Neural Network, Large Language Model, and Human Intelligence for Public Health Misinformation Detection (Archival Full …",https://dl.acm.org/doi/abs/10.1145/3643562.3672613,2024.0,Proceedings of the …,"['Y Zhang', 'R Zong', 'L Shang', 'Z Yue', 'H Zeng']",google_scholar
Generative AI and Disinformation| A Beacon of Trustworthiness in a Sea of Disinformation: Does News Coverage About the Dangers of Generative AI Cause People to …,https://ijoc.org/index.php/ijoc/article/view/24773,2025.0,International Journal of …,"['T Dobber', 'M Hameleers', 'C Starke']",google_scholar
Detecting Health Misinformation by Leveraging LLM Models and Debunk List,https://dl.acm.org/doi/abs/10.1145/3721201.3725518,2025.0,Proceedings of the ACM …,"['M Rostami', 'KSMT Hossain', 'S Hawamdeh']",google_scholar
"Current safeguards, risk mitigation, and transparency measures of large language models against the generation of health disinformation: repeated cross sectional …",https://www.bmj.com/content/384/bmj-2023-078538.abstract,2024.0,bmj,"['BD Menz', 'NM Kuderer', 'S Bacchi', 'ND Modi', 'B Chin-Yee']",google_scholar
Misinformation and Generative AI: How Users Construe Their Sense of Diagnostic Misinformation,https://link.springer.com/chapter/10.1007/978-3-031-52569-8_9,2024.0,Artificial Misinformation: Exploring Human-Algorithm …,['D Shin'],google_scholar
The media literacy dilemma: can ChatGPT facilitate the discernment of online health misinformation?,https://www.frontiersin.org/journals/communication/articles/10.3389/fcomm.2024.1487213/full,2024.0,Frontiers in Communication,"['W Peng', 'J Meng', 'TW Ling']",google_scholar
Generative artificial intelligence and misinformation acceptance: An experimental test of the effect of forewarning about artificial intelligence hallucination,https://www.liebertpub.com/doi/abs/10.1089/cyber.2024.0407,2025.0,"Cyberpsychology, Behavior, and Social …","['Y Hwang', 'SH Jeong']",google_scholar
ChatGPT and vaccines: can AI chatbots boost awareness and uptake?,https://link.springer.com/article/10.1007/s10439-023-03305-y,2024.0,Annals of Biomedical …,"['SS Sohail', 'DØ Madsen', 'F Farhat', 'MA Alam']",google_scholar
Generative propaganda: Evidence of AI's impact from a state-backed disinformation campaign,https://academic.oup.com/pnasnexus/article-abstract/4/4/pgaf083/8097936,2025.0,PNAS nexus,"['M Wack', 'C Ehrett', 'D Linvill', 'P Warren']",google_scholar
"Using ChatGPT to fight misinformation: ChatGPT nails 72% of 12,000 verified claims",https://files.osf.io/v1/resources/qnjkf/providers/osfstorage/642b16668ef65b31d2429f1b?format=pdf&action=download&direct&version=1,2023.0,PsyArXiv. April,"['E Hoes', 'S Altay', 'J Bermeo']",google_scholar
An empirical investigation of the impact of ChatGPT on creativity,https://www.nature.com/articles/s41562-024-01953-1,2024.0,Nature Human Behaviour,"['BC Lee', 'J Chung']",google_scholar
How and for whom using generative AI affects creativity: A field experiment.,https://psycnet.apa.org/record/2026-29702-001,2025.0,Journal of Applied …,"['S Sun', 'ZA Li', 'MD Foo', 'J Zhou', 'JG Lu']",google_scholar
A framework for collaborating a large language model tool in brainstorming for triggering creative thoughts,https://www.sciencedirect.com/science/article/pii/S1871187125000045,2025.0,Thinking Skills and Creativity,"['HF Chang', 'T Li']",google_scholar
Can LLM-Powered Multi-Agent Systems Augment Human Creativity? Evidence from Brainstorming Tasks,https://dl.acm.org/doi/abs/10.1145/3715928.3737479,2025.0,Proceedings of the ACM Collective Intelligence …,"['K Fukumura', 'T Ito']",google_scholar
Supermind ideator: How scaffolding human-AI collaboration can increase creativity,https://dl.acm.org/doi/abs/10.1145/3643562.3672611,2024.0,… collective intelligence …,"['JL Heyman', 'SR Rick', 'G Giacomelli', 'H Wen']",google_scholar
The temperature feature of ChatGPT: modifying creativity for clinical research,https://humanfactors.jmir.org/2024/1/e53559/,2024.0,JMIR human …,"['J Davis', 'L Van Bulck', 'BN Durieux']",google_scholar
The effects of generative AI on collaborative problem-solving and team creativity performance in digital story creation: an experimental study,https://link.springer.com/article/10.1186/s41239-025-00526-0,2025.0,International Journal of Educational …,"['X Wei', 'L Wang', 'LK Lee', 'R Liu']",google_scholar
Towards human-AI-collaboration in brainstorming: Empirical insights into the perception of working with a generative AI,https://aisel.aisnet.org/ecis2023_rp/429/,2023.0,,"['L Memmert', 'N Tavanapour']",google_scholar
Human‐AI Co‐Creativity: Does ChatGPT Make Us More Creative?,https://onlinelibrary.wiley.com/doi/abs/10.1002/jocb.70022,2025.0,The Journal of …,"['K Medeiros', 'DH Cropley', 'RL Marrone']",google_scholar
The Impact of Generative AI on Creativity in Software Development: A Research Agenda,https://repository.tudelft.nl/record/uuid:654cc995-a65e-4b2b-b258-e52d8871e235,2025.0,,"['V JACKSON', 'B VASILESCU', 'D RUSSO', 'P RALPH']",google_scholar
Human creativity in the age of llms: Randomized experiments on divergent and convergent thinking,https://dl.acm.org/doi/abs/10.1145/3706598.3714198,2025.0,Proceedings of the 2025 …,"['H Kumar', 'J Vincentius', 'E Jordan']",google_scholar
Generative AI enhances individual creativity but reduces the collective diversity of novel content,https://www.science.org/doi/abs/10.1126/sciadv.adn5290,2024.0,Science advances,"['AR Doshi', 'OP Hauser']",google_scholar
AI and Creativity in Entrepreneurship Education: A Systematic Review of LLM Applications,https://www.mdpi.com/2673-2688/6/5/100,2025.0,AI,"['JH Park', 'SJ Kim', 'ST Lee']",google_scholar
Large Language Models show both individual and collective creativity comparable to humans,https://www.sciencedirect.com/science/article/pii/S1871187125001191,2025.0,… Skills and Creativity,"['L Sun', 'Y Yuan', 'Y Yao', 'Y Li', 'H Zhang', 'X Xie']",google_scholar
AI and the Future of Collaborative Work: Group Ideation with an LLM in a Virtual Canvas,https://dl.acm.org/doi/abs/10.1145/3663384.3663398,2024.0,Proceedings of the 3rd …,"['J He', 'S Houde', 'GE Gonzalez', 'DA Silva Moran']",google_scholar
""" It Felt Like Having a Second Mind"": Investigating Human-AI Co-creativity in Prewriting with Large Language Models",https://dl.acm.org/doi/abs/10.1145/3637361,2024.0,Proceedings of the ACM on …,"['Q Wan', 'S Hu', 'Y Zhang', 'P Wang', 'B Wen']",google_scholar
How ai processing delays foster creativity: Exploring research question co-creation with an llm-based agent,https://dl.acm.org/doi/abs/10.1145/3613904.3642698,2024.0,Proceedings of the …,"['Y Liu', 'S Chen', 'H Cheng', 'M Yu', 'X Ran', 'A Mo']",google_scholar
Homogenizing effect of large language model on creativity: An empirical comparison of human and ChatGPT writing,https://search.proquest.com/openview/415b41c47f0e5e98b417656339ac1c89/1?pq-origsite=gscholar&cbl=18750&diss=y,2024.0,,['K Moon'],google_scholar
The cybernetic teammate: A field experiment on generative AI reshaping teamwork and expertise,https://www.nber.org/papers/w33641,2025.0,,"[""F Dell'Acqua"", 'C Ayoubi', 'H Lifshitz', 'R Sadun', 'E Mollick']",google_scholar
"How AI ideas affect the creativity, diversity, and evolution of human ideas: evidence from a large, dynamic experiment",https://dl.acm.org/doi/abs/10.1145/3715928.3737481,2025.0,… collective intelligence …,"['J Ashkinaze', 'J Mendelsohn', 'L Qiwei', 'C Budak']",google_scholar
Managing the creative frontier of generative AI: The novelty-usefulness tradeoff,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4469983,2023.0,California Management Review,"['A Mukherjee', 'H Chang']",google_scholar
Effects of ChatGPT use on undergraduate students' creativity: a threat to creative thinking?,https://link.springer.com/article/10.1007/s44163-024-00172-x,2024.0,Discover Artificial Intelligence,"['RB Toma', 'I Yánez-Pérez']",google_scholar
ChatGPT decreases idea diversity in brainstorming,https://www.nature.com/articles/s41562-025-02173-x,2025.0,Nature human behaviour,"['L Meincke', 'G Nave', 'C Terwiesch']",google_scholar
"If ChatGPT can do it, where is my creativity? generative AI boosts performance but diminishes experience in creative writing",https://www.sciencedirect.com/science/article/pii/S2949882125000246,2025.0,Computers in Human …,"['P Mei', 'DN Brewis', 'F Nwaiwu', 'D Sumanathilaka']",google_scholar
Creative scar without generative AI: Individual creativity fails to sustain while homogeneity keeps climbing,https://www.sciencedirect.com/science/article/pii/S0160791X25002775,2025.0,Technology in Society,"['Y Zhou', 'Q Liu', 'J Huang', 'G Li']",google_scholar
A map of exploring human interaction patterns with LLM: Insights into collaboration and creativity,https://link.springer.com/chapter/10.1007/978-3-031-60615-1_5,2024.0,International conference on human-computer …,"['J Li', 'J Li', 'Y Su']",google_scholar
When ChatGPT Writes Your Research Proposal: Scientific Creativity in the Age of Generative AI,https://www.mdpi.com/2079-3200/13/5/55,2025.0,Journal of Intelligence,"['V Eymann', 'T Lachmann', 'D Czernochowski']",google_scholar
Stimulating Brainstorming Activities with Generative AI in Higher Education,https://ieeexplore.ieee.org/abstract/document/11016340/,2025.0,2025 IEEE Global Engineering …,"['J La Scala', 'S Sahli', 'D Gillet']",google_scholar
Is Chatgpt a menace for creative writing ability? An experiment,https://onlinelibrary.wiley.com/doi/abs/10.1111/jcal.12929,2024.0,Journal of computer …,"['AC Niloy', 'S Akter', 'N Sultana', 'J Sultana']",google_scholar
AI4Design: A generative AI-based system to improve creativity in design–A field evaluation,https://www.sciencedirect.com/science/article/pii/S2666920X25000414,2025.0,Computers and Education …,"['L Abrusci', 'K Dabaghi', ""S D'Urso"", 'F Sciarrone']",google_scholar
Groups and AI: How Access to Generative AI Influences Creative Teamwork,https://dl.acm.org/doi/abs/10.1145/3743049.3743073,2025.0,Proceedings of the …,"['PM Preuschoff', 'R Zaghal', 'O Nowak']",google_scholar
Large language model in creative work: The role of collaboration modality and user expertise,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2023.03014,2024.0,Management Science,"['Z Chen', 'J Chan']",google_scholar
Generating creativity through ChatGPT: an empirical investigation in open innovation platforms,https://link.springer.com/article/10.1007/s10799-025-00454-5,2025.0,Information Technology and …,"['L Yongjun', 'L Xinyue', 'W Lizheng']",google_scholar
Is artificial intelligence more creative than humans?: ChatGPT and the divergent association task,https://learningletters.org/index.php/learn/article/view/13,2023.0,Learning Letters,['D Cropley'],google_scholar
Art or artifice? large language models and the false promise of creativity,https://dl.acm.org/doi/abs/10.1145/3613904.3642731,2024.0,Proceedings of the …,"['T Chakrabarty', 'P Laban', 'D Agarwal']",google_scholar
Can ChatGPT enhance business student creativity? Evidence from a randomised controlled trial,https://www.tandfonline.com/doi/abs/10.1080/03075079.2025.2515512,2025.0,Studies in Higher …,"['R Fisher', 'T Gogan', 'J Williams', 'R Laferriere']",google_scholar
Creativity support in the age of large language models: An empirical study involving professional writers,https://dl.acm.org/doi/abs/10.1145/3635636.3656201,2024.0,… on Creativity & …,"['T Chakrabarty', 'V Padmakumar', 'F Brahman']",google_scholar
ChatGPT and the future of academic writing: Enhancing productivity and creativity,https://jecir.com/index.php/jecir/article/view/4,2025.0,Journal of Engineering and …,"['M Afzal', 'N Arshad', 'A Shaheen']",google_scholar
One does not simply meme alone: Evaluating co-creativity between LLMs and humans in the generation of humor,https://dl.acm.org/doi/abs/10.1145/3708359.3712094,2025.0,… of the 30th International Conference on …,"['Z Wu', 'T Weber', 'F Müller']",google_scholar
Unlocking creativity with artificial intelligence (AI): Field and experimental evidence on the Goldilocks (curvilinear) effect of human–AI collaboration.,https://psycnet.apa.org/record/2026-72026-001,2025.0,Journal of Experimental Psychology: General,['HCB Huang'],google_scholar
Homogenization effects of large language models on human creative ideation,https://dl.acm.org/doi/abs/10.1145/3635636.3656204,2024.0,… the 16th conference on creativity …,"['BR Anderson', 'JH Shah', 'M Kreminski']",google_scholar
Generative AI as a disrupter of creativity,https://www.elgaronline.com/edcollchap/book/9781035326020/book-part-9781035326020-19.xml,2025.0,Generative AI in Higher Education,"['AH Clark', 'K Denman']",google_scholar
The crowdless future? Generative AI and creative problem-solving,https://pubsonline.informs.org/doi/abs/10.1287/orsc.2023.18430,2024.0,Organization …,"['L Boussioux', 'JN Lane', 'M Zhang']",google_scholar
“The Cat Sat on the…?” Why Generative AI Has Limited Creativity,https://onlinelibrary.wiley.com/doi/abs/10.1002/jocb.70077,2025.0,The Journal of Creative Behavior,['DH Cropley'],google_scholar
The current state of artificial intelligence generative language models is more creative than humans on divergent thinking tasks,https://www.nature.com/articles/s41598-024-53303-w,2024.0,Scientific Reports,"['KF Hubert', 'KN Awa', 'DL Zabelina']",google_scholar
The Metrics That Matter: Rethinking How We Measure Co-Creation with Generative AI for Creative Writing,https://repositories.lib.utexas.edu/items/b0d13574-4de8-45d7-967a-f1deb50470f4,2025.0,,['R Cyriac'],google_scholar
Brainstorming with a Generative Language Model: Understanding Performance Through Brainstorming Group Effects,https://aisel.aisnet.org/ecis2024/track06_humanaicollab/track06_humanaicollab/1/,2024.0,,['L Memmert'],google_scholar
The role of generative AI in human creative processes: Experimental evidence,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4676053,2023.0,Available at SSRN 4676053,"['F Zhu', 'W Zou']",google_scholar
Homogenizing effect of large language models (LLMs) on creative diversity: An empirical comparison of human and ChatGPT writing,https://www.sciencedirect.com/science/article/pii/S294988212500091X,2025.0,Computers in Human Behavior: Artificial …,"['K Moon', 'AE Green', 'K Kushlev']",google_scholar
Piecing together teamwork: A responsible approach to an LLM-based educational jigsaw agent,https://dl.acm.org/doi/abs/10.1145/3706598.3713349,2025.0,Proceedings of the …,"['E Doherty', 'EM Perkoff', 'S von Bayern', 'R Zhang']",google_scholar
A Study on the Influence of CHATGPT Usage on Human Cognitive Thinking and Creativity.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=09701052&AN=180917641&h=d8XgHcFx4Dz5ohvtR58XMz5LzvUdbESxcHV4hr6FZfdt63V8pXI%2F7z0Sk43Bx3BDef%2B5x7BW2xuYqYYS9tY0CQ%3D%3D&crl=c,2024.0,Library of Progress-Library Science …,"['A Swaraj', 'P Chavan']",google_scholar
"Who Is the Best Helper for University Students' Mathematical Creativity? A Quasi‐Experimental Study of Human–ChatGPT, Human–Google, and Human–Human Co …",https://onlinelibrary.wiley.com/doi/abs/10.1002/cae.70100,2025.0,Computer Applications in …,"['Z Liu', 'H Zuo', 'J Feng', 'Y Lu']",google_scholar
CharacterMeet: Supporting creative writers' entire story character construction processes through conversation with LLM-powered chatbot avatars,https://dl.acm.org/doi/abs/10.1145/3613904.3642105,2024.0,… of the 2024 CHI Conference on …,"['HX Qin', 'S Jin', 'Z Gao', 'M Fan', 'P Hui']",google_scholar
Artificial muses: Generative artificial intelligence chatbots have risen to human-level creativity,https://www.sciencedirect.com/science/article/pii/S2713374523000250,2023.0,Journal of Creativity,"['J Haase', 'PHP Hanel']",google_scholar
Inspiration booster or creative fixation? The dual mechanisms of LLMs in shaping individual creativity in tasks of different complexity,https://www.nature.com/articles/s41599-025-05867-9,2025.0,Humanities and Social Sciences Communications,"['X Cheng', 'L Zhang']",google_scholar
"Can ChatGPT be an author? Generative AI creative writing assistance and perceptions of authorship, creatorship, responsibility, and disclosure",https://link.springer.com/article/10.1007/s00146-024-02081-0,2025.0,Ai & Society,"['P Formosa', 'S Bankins', 'R Matulionyte', 'O Ghasemi']",google_scholar
"Writing, creativity, and artificial intelligence: ChatGPT in the university context.",https://eric.ed.gov/?id=EJ1407056,2023.0,Comunicar: Media …,"['MI de Vicente-Yagüe-Jara', 'O López-Martínez']",google_scholar
Structured Creativity: Enhancing Business Model Innovation with Generative AI,https://link.springer.com/chapter/10.1007/978-3-031-93979-2_13,2025.0,… Conference on Design …,"['C Scheiber', 'TP Böttcher', 'E Fielt']",google_scholar
Large language Model AI guided creative writing Co-creation in secondary schools,https://www.tandfonline.com/doi/abs/10.1080/00405841.2025.2528551,2025.0,Theory Into Practice,"['T Spitsberg', 'T Kettler', 'J McKamie']",google_scholar
Chatbot development using langchain: a case study to foster critical thinking and creativity,https://dl.acm.org/doi/abs/10.1145/3649217.3653557,2024.0,Proceedings of the 2024 on Innovation and …,"['L Farinetti', 'L Canale']",google_scholar
Creativity in the AI Era: Humans vs. ChatGPT in Unprompted Playful Language Tasks.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=26326779&AN=185336779&h=Cu8JJD%2FrZyD%2BkhS0%2FRpEl6Q6U3t36soJG0W%2F2iVtEkTPPvAyFkCrdQE0nNSE4zrqG5wnObEYHUksX0NG7ssPQw%3D%3D&crl=c,2025.0,International Journal of TESOL Studies,['TB Tin'],google_scholar
Integrating Generative AI Into Design Thinking: Assessing Impact on Creativity and Innovation in STEM Education,https://ieeexplore.ieee.org/abstract/document/11016312/,2025.0,2025 IEEE Global …,"['GM Chans', 'C Merino-Soto', 'SS Chávez']",google_scholar
Designing Interactions with Generative AI for Art and Creativity: A Systematic Review and Taxonomy,https://dl.acm.org/doi/abs/10.1145/3715336.3735843,2025.0,Proceedings of the …,"['X Hu', 'Y Xing', 'X Cai', 'Y Zhao', 'M Cook', 'R Borgo']",google_scholar
How generative AI can augment human creativity,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4759930,2023.0,Harvard Business …,"['T Eapen', 'DJ Finkenstadt', 'J Folk']",google_scholar
How AI is Reshaping Creativity: DeepSeek vs ChatGPT Plus in LEGO® SERIOUS PLAY®,https://link.springer.com/chapter/10.1007/978-3-032-01429-0_7,2025.0,… Conference on the Ethical and Social …,"['A Almeida', 'D Meyerson', 'I Almeida']",google_scholar
Can artificial intelligence support creativity in early design processes?,https://journals.sagepub.com/doi/abs/10.1177/14780771241254637,2025.0,International journal of …,"['T Chandrasekera', 'Z Hosseini']",google_scholar
The paradox of artificial creativity: Challenges and opportunities of generative AI artistry,https://www.tandfonline.com/doi/abs/10.1080/10400419.2024.2354622,2025.0,Creativity Research Journal,['MB Garcia'],google_scholar
On the creativity of large language models,https://link.springer.com/article/10.1007/s00146-024-02127-3,2025.0,AI & society,"['G Franceschelli', 'M Musolesi']",google_scholar
Artificial intelligence & creativity: A manifesto for collaboration,https://onlinelibrary.wiley.com/doi/abs/10.1002/jocb.597,2023.0,The Journal of …,"['F Vinchon', 'T Lubart', 'S Bartolotta']",google_scholar
Hybrid ideas of artificial intelligence and human: Growth of creativity in college educational programs.,https://psycnet.apa.org/record/2025-87867-001,2025.0,"Psychology of Aesthetics, Creativity, and the Arts",['L Li'],google_scholar
Exploring Poetic Creativity in Large Language Models: A Dynamic Multi-Agent Framework for Poem Generation,https://www.techrxiv.org/doi/full/10.36227/techrxiv.172349511.19939559,2024.0,Authorea Preprints,"['S Weatherby', 'N Ashbourne', 'J Palmerston']",google_scholar
The Effects of (Dis) similarities Between the Creator and the Assessor on Assessing Creativity: A Comparison of Humans and LLMs,https://www.mdpi.com/2079-3200/13/7/80,2025.0,Journal of Intelligence,"[""M op 't Hof"", 'K Hu', 'S Tong', 'H Bai']",google_scholar
“Augmented Brainstorming with AI”–Research Approach for Identifying Design Criteria for Improved Collaborative Idea Generation Between Humans and AI,https://ebooks.iospress.nl/volumearticle/63361,2023.0,HHAI 2023: Augmenting …,"['L Schmidt', 'A Piazza']",google_scholar
Switching perspectives on generative artificial intelligence: A design view for humans-generative AI co-creativity,https://minesparis-psl.hal.science/hal-04520521/document,2024.0,R&D Management …,"['A Bordas', 'P Le Masson', 'B Weil']",google_scholar
Enhancing novelty in chatgpt responses: Incorporating random word brainstorming,https://dl.acm.org/doi/abs/10.1145/3628454.3628456,2023.0,Proceedings of the 13th …,"['P Taveekitworachai', 'R Thawonmas']",google_scholar
Enhancing designer creativity through human–AI co-ideation: a co-creation framework for design ideation with custom GPT,https://www.cambridge.org/core/journals/ai-edam/article/enhancing-designer-creativity-through-humanai-coideation-a-cocreation-framework-for-design-ideation-with-custom-gpt/BCC2CBE43EECE6F0D937BBC0D2F44868,2025.0,AI EDAM,"['P Wang', 'Y Khinvasara', 'GJ Creijghton', 'T Scholing']",google_scholar
AI plus other technologies? The impact of ChatGPT and creativity support systems on individual creativity,https://aisel.aisnet.org/icis2023/aiinbus/aiinbus/1/,2023.0,,"['Y Tao', 'C Yoo', 'A Animesh']",google_scholar
Enhancing work productivity through generative artificial intelligence: A comprehensive literature review,https://www.mdpi.com/2071-1050/16/3/1166,2024.0,Sustainability,"['H Al Naqbi', 'Z Bahroun', 'V Ahmed']",google_scholar
Generative AI in the Workplace: Effects on Employee Efficiency and Performance,https://aaltodoc.aalto.fi/items/7861009a-7714-4c9b-8141-81b82c21477f,2024.0,,['R Keltanen'],google_scholar
Experimental evidence on the productivity effects of generative artificial intelligence,https://www.science.org/doi/abs/10.1126/science.adh2586,2023.0,Science,"['S Noy', 'W Zhang']",google_scholar
AI Assistants in the Workplace: Goal-Oriented Recommendations Using LLM,https://revistaaihc.mx/index.php/aihc/article/view/140,2024.0,Avances en …,"['R Perera', 'C Gendron', 'C Delgado']",google_scholar
""" If the machine is as good as me, then what use am I?""–How the use of ChatGPT changes young professionals' perception of productivity and accomplishment",https://dl.acm.org/doi/abs/10.1145/3613904.3641964,2024.0,Proceedings of the …,"['C Kobiella', 'YS Flores López', 'F Waltenberger']",google_scholar
Generative AI and Essay Writing: Impacts of Automated Feedback on Revision Performance and Engagement.,https://eric.ed.gov/?id=EJ1459877,2024.0,Reflections,"['S Chan', 'N Lo', 'A Wong']",google_scholar
Generative AI: driving productivity and scientific breakthroughs in pharmaceutical R&D,https://www.sciencedirect.com/science/article/pii/S1359644624003970,2025.0,Drug Discovery Today,"['G Doron', 'S Genway', 'M Roberts', 'S Jasti']",google_scholar
Effectiveness of LLM-based AI Assistance for small business productivity,https://www.researchsquare.com/article/rs-6481789/latest,2025.0,,"['A Sinayev', 'C Courtney']",google_scholar
Investigating a customized generative AI chatbot for automated essay scoring in a disciplinary writing task,https://www.sciencedirect.com/science/article/pii/S1075293525000467,2025.0,Assessing Writing,"['G Lan', 'Y Li', 'J Yang', 'X He']",google_scholar
ChatGPT on ChatGPT: An exploratory analysis of its performance in the public sector workplace,https://dl.acm.org/doi/abs/10.1145/3676281,2025.0,… : Research and Practice,"['J Wang', 'E Kiran', 'SR Aurora', 'M Simeone']",google_scholar
Change is always permanent: the role of ChatGPT on knowledge workers' productivity and innovative behavior,https://www.emerald.com/jkm/article-abstract/doi/10.1108/JKM-01-2025-0091/1299995,2025.0,Journal of Knowledge …,"['Q Amber', 'MS Sumbal', 'YP Tsang', 'A Papa']",google_scholar
ChatGPT and Beyond: Exploring the Responsible Use of Generative AI in the Workplace: M. Söllner et al.,https://link.springer.com/article/10.1007/s12599-025-00932-8,2025.0,Business & Information …,"['M Söllner', 'T Arnold', 'A Benlian', 'U Bretschneider']",google_scholar
Advancements and Applications of Generative Artificial Intelligence and show the Experimental Evidence on the Productivity Effects using Generative Artificial …,https://philpapers.org/rec/SAKAAA-5,2023.0,,['S Sakshi'],google_scholar
"Take it, leave it, or fix it: Measuring productivity and trust in human-ai collaboration",https://dl.acm.org/doi/abs/10.1145/3640543.3645198,2024.0,Proceedings of the 29th International Conference on …,"['C Qian', 'J Wexler']",google_scholar
The impact of generative AI on employment and labor productivity,https://search.proquest.com/openview/ef4a16ccdd3ada374a981a60edf32f2a/1?pq-origsite=gscholar&cbl=36534,2024.0,Review of Business,"['J Yu', 'C Qi']",google_scholar
Measuring the impact of AI on information worker productivity,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4648686,2023.0,Available at SSRN 4648686,"['BG Edelman', 'D Ngwe', 'S Peng']",google_scholar
Transforming boundaries: how does ChatGPT change knowledge work?,https://www.emerald.com/jbs/article/45/3/214/191219,2024.0,Journal of Business Strategy,"['P Ritala', 'M Ruokonen', 'L Ramaul']",google_scholar
Trusting in generative AI: Catalyst for employee performance and engagement in the workplace,https://www.tandfonline.com/doi/abs/10.1080/10447318.2024.2388482,2025.0,International Journal of …,"['F Marimon', 'M Mas-Machuca']",google_scholar
When Efficiency Meets Fulfillment: Understanding Long-Term LLM Integration in Knowledge Work,https://dl.acm.org/doi/abs/10.1145/3729176.3729180,2025.0,Proceedings of the 4th …,"['C Kobiella', 'T Mitrevska', 'A Schmidt']",google_scholar
