id,category,task_name,difficulty,tags,prompt_en
35,Search,Recently viewed items module with clear,Easy,recently-viewed;localStorage,"Implement a “Recently viewed” module.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Track the last 10 viewed posts/items in localStorage with timestamp.
- Show the list in a sidebar or section with thumbnail + title.
- Provide “Clear history” with confirmation.

Acceptance criteria:
- Items are de-duplicated and moved to the top when viewed again.
- Clicking an item navigates to its detail page correctly."
36,Search,Grouped results view with collapsible sections,Medium,grouping;accordion;list,"Build a grouped results view (e.g., group by tag or category) with collapsible sections.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Results are grouped by a computed key (e.g., primaryTag). Each group header shows count.
- Groups can be collapsed/expanded independently; collapsed groups do not render items.
- Provide “Expand all / Collapse all”.

Acceptance criteria:
- Collapsing groups improves performance (measure by reduced DOM nodes).
- Group headers remain accessible and announce expanded state (aria-expanded)."
37,Search,Sort explanation tooltip,Easy,tooltip;UX;helptext,"Add a “Why this order?” tooltip next to a sort selector.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Tooltip explains how each sort option is computed (static text is fine).
- Tooltip must be accessible: focus-triggered, dismissible, and does not trap focus.

Acceptance criteria:
- Tooltip content is readable on mobile (no off-screen overflow)."
38,Search,Hierarchical breadcrumbs for category navigation,Medium,breadcrumbs;navigation;URL-state,"Implement hierarchical category navigation with breadcrumbs.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Categories have 3 levels (e.g., Category / Subcategory / Topic).
- Selecting a level updates the results and breadcrumbs; clicking a breadcrumb goes back to that level.
- State is encoded in the URL so it can be shared.

Acceptance criteria:
- Breadcrumb interactions never leave the UI in an inconsistent state.
- Screen readers announce breadcrumb navigation properly (nav + aria-label)."
39,Search,Empty-state with recommended actions,Easy,empty-state;UX,"Design robust empty states for a results page.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- When results are empty, show:
  - clear explanation (“No results for …”)
  - suggested actions (clear filters, try a different keyword, go to trending)
  - a “Reset to defaults” button
- Ensure the empty state is visually consistent with the rest of the app.

Acceptance criteria:
- Empty state is reachable via mock API returning 0 items.
- Primary action returns the user to a non-empty view deterministically."
40,Search,Undo/Redo for filter changes (Ctrl+Z / Ctrl+Y),Hard,undo-redo;history;keyboard-shortcuts;state,"Add Undo/Redo support for filter changes on a list page.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Every filter change creates a snapshot in a history stack (limit to 50 snapshots).
- Ctrl+Z performs Undo; Ctrl+Y performs Redo. Provide UI buttons as well.
- Undo/Redo updates the URL and triggers a refetch (debounced to avoid excessive requests).
- Show a small indicator of the current history position (e.g., “3/12”).

Acceptance criteria:
- Undo/Redo is deterministic and does not lose intermediate states.
- In-flight requests are cancelled when the state changes rapidly."
41,Comments,Threaded comments with hot/new sorting,Hard,comments;threading;sorting;pagination,"Implement an interactive comment section with two-level threading and sorting.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Render top-level comments and one nested reply level (replies expandable).
- Sorting: “Newest” (by time) and “Hottest” (by score = likes - dislikes + replyCount weight).
- Support like/dislike per comment with optimistic UI and per-comment pending state.
- Add “Reply” that opens an inline reply editor under the comment.

Mock API:
- GET /comments?postId=&sort=&page=
- POST /comments/:id/reaction
- POST /comments/:id/reply

Accessibility:
- Sorting control is keyboard operable.
- Comment actions have accessible labels and announce state.

Acceptance criteria:
- Expanding/collapsing replies does not reset scroll position.
- Sorting reorders comments without losing user reaction state."
42,Comments,Time-boxed comment edit (5 minutes) with edited label,Medium,editing;time-window;UX,"Add comment editing with a 5-minute edit window.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Allow editing only within 5 minutes after posting (based on createdAt).
- Provide an “Edit” button when eligible; on save, show “Edited” indicator with timestamp.
- If the window expires while editing, warn the user and prevent saving.

Acceptance criteria:
- Eligibility is computed consistently across refresh (mock server time optional).
- Edited label is rendered accessibly (screen-reader friendly)."
43,Comments,Soft-delete comments with placeholder,Easy,delete;confirm;placeholder,"Implement comment deletion using soft-delete placeholders.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Delete action requires confirmation.
- After deletion, replace comment content with “This comment has been deleted” placeholder, retaining thread structure.
- Provide “Undo” for 10 seconds (local only is fine).

Acceptance criteria:
- Thread layout remains stable (replies still visible and properly indented).
- Undo restores the original comment content and reactions."
44,Comments,Markdown editor with preview mode for comments,Medium,markdown;preview;editor,"Create a comment composer that supports basic Markdown and a preview toggle.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Support bold, italic, inline code, code blocks, and links.
- Provide Edit/Preview toggle; preview renders sanitized HTML.
- Add a “Copy code block” button in rendered code blocks.

Acceptance criteria:
- Markdown rendering is safe (no script injection).
- Preview mode is accessible and does not lose the draft content."
45,Comments,@mentions and #hashtags rendering + autocomplete,Hard,mentions;hashtags;autocomplete;parsing,"Implement mentions and hashtags in comments, including autocomplete and rendering.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- In the composer, typing “@” suggests users; typing “#” suggests topics.
- After submission, render mentions/hashtags as clickable tokens that navigate to user/topic pages.
- Mentions and hashtags are stored as structured entities (e.g., offsets) to avoid ambiguous parsing.

Accessibility:
- Autocomplete follows ARIA combobox/listbox conventions.

Acceptance criteria:
- Multiple mentions/hashtags per comment work reliably.
- Clickable tokens are focusable and have clear focus styles."
46,Comments,Quote reply UI with removable quote card,Easy,quote-reply;composer;UI,"Add a “Quote reply” feature in the comment composer.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Clicking “Quote” on a comment adds a quote card above the composer with author + snippet.
- User can remove the quote card with an X button.
- On submit, the new comment includes a rendered quote block at the top.

Acceptance criteria:
- Quote card and quote block are clearly distinguished visually and via semantics.
- Removing quote returns focus to the composer input."
47,Comments,Incremental comment loading with stable scroll position,Medium,pagination;scroll-restoration;loading,"Implement incremental comment loading while preserving scroll position.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Load first 10 comments; provide “Load more” to fetch the next page.
- When new page is appended, keep the user’s viewport stable (no jump).
- Provide “Jump to newest” and “Jump to top” shortcuts.

Acceptance criteria:
- Appending comments does not shift content unexpectedly.
- Shortcuts are accessible and correctly manage focus."
48,Comments,Like button micro-interactions and reduced motion support,Easy,micro-interactions;reduced-motion;accessibility,"Enhance comment like interactions with micro-interactions and reduced-motion support.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- On like: animate the icon and count (lightweight).
- Respect prefers-reduced-motion: disable or simplify animations.
- Ensure like state is indicated via aria-pressed and visible focus.

Acceptance criteria:
- Animations never block interaction or cause layout shift.
- Reduced-motion preference changes behavior immediately."
49,Comments,Poll post component with results visualization,Medium,poll;forms;progress-bars;state,"Build a poll component that supports single-select and multi-select modes.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Poll options as radio buttons (single) or checkboxes (multi).
- After voting, show results with percentage bars and total votes.
- Provide a “View details” modal listing voters (mock data), searchable by name.

Acceptance criteria:
- Users cannot vote twice (per session); persist vote locally.
- Result bars are accessible (announce percentage and counts)."
50,Comments,Q&A page with accepted answer and ranking,Hard,Q&A;ranking;accept-answer;moderation,"Create a Q&A page where an accepted answer can be selected and answers are ranked.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- A question detail header plus a list of answers.
- Voting on answers (up/down) with optimistic UI.
- The question owner can “Accept” one answer; accepted answer is pinned at top with a distinct style.
- Answers can be sorted by “Top” (score) or “Newest”.

Mock API:
- GET /questions/:id, GET /questions/:id/answers
- POST /answers/:id/vote, POST /answers/:id/accept

Acceptance criteria:
- Only one accepted answer at a time; changing acceptance updates UI consistently.
- Sorting does not move the accepted answer away from the pinned position."
